Framework, Compute Capability, Cuda Library, Framework Version 
tf,3.5,11.1,2.2,Environment Resolution Failure
tf,3.5,11.1,2.4,Environment Resolution Failure
tf,3.5,11.2,2.2,Environment Resolution Failure
tf,3.5,11.2,2.4,Environment Resolution Failure
tf,3.5,11.3,2.2,Environment Resolution Failure
tf,3.5,11.3,2.4,Environment Resolution Failure
tf,3.5,11.4,2.2,Environment Resolution Failure
tf,3.5,11.4,2.4,Environment Resolution Failure
tf,3.5,11.5,2.2,Failure to Match
tf,3.5,11.5,2.4,Failure to Match
tf,3.5,11.5,2.6,Failure to Match
tf,3.5,11.5,2.7,Failure to Match
tf,3.5,11.6,2.2,Failure to Match
tf,3.5,11.6,2.4,Failure to Match
tf,3.5,11.6,2.6,Failure to Match
tf,3.5,11.6,2.7,Failure to Match
tf,6.0,11.1,2.2,Environment Resolution Failure
tf,6.0,11.1,2.4,Environment Resolution Failure
tf,6.0,11.2,2.2,Environment Resolution Failure
tf,6.0,11.2,2.4,Environment Resolution Failure
tf,6.0,11.3,2.2,Environment Resolution Failure
tf,6.0,11.3,2.4,Environment Resolution Failure
tf,6.0,11.4,2.2,Environment Resolution Failure
tf,6.0,11.4,2.4,Environment Resolution Failure
tf,6.0,11.5,2.2,Environment Resolution Failure
tf,6.0,11.5,2.4,Environment Resolution Failure
tf,6.0,11.6,2.2,Failure to Match
tf,6.0,11.6,2.4,Failure to Match
tf,6.0,11.6,2.6,Failure to Match
tf,6.0,11.6,2.7,Failure to Match
tf,6.1,11.1,2.2,Environment Resolution Failure
tf,6.1,11.1,2.4,Environment Resolution Failure
tf,6.1,11.2,2.2,Environment Resolution Failure
tf,6.1,11.2,2.4,Environment Resolution Failure
tf,6.1,11.3,2.2,Environment Resolution Failure
tf,6.1,11.3,2.4,Environment Resolution Failure
tf,6.1,11.4,2.2,Environment Resolution Failure
tf,6.1,11.4,2.4,Environment Resolution Failure
tf,6.1,11.5,2.2,Environment Resolution Failure
tf,6.1,11.5,2.4,Environment Resolution Failure
tf,6.1,11.6,2.2,Environment Resolution Failure
tf,6.1,11.6,2.4,Environment Resolution Failure
tf,7.5,11.1,2.2,Environment Resolution Failure
tf,7.5,11.1,2.4,Environment Resolution Failure
tf,7.5,11.2,2.2,Environment Resolution Failure
tf,7.5,11.2,2.4,Environment Resolution Failure
tf,7.5,11.3,2.2,Environment Resolution Failure
tf,7.5,11.3,2.4,Environment Resolution Failure
tf,7.5,11.4,2.2,Environment Resolution Failure
tf,7.5,11.4,2.4,Environment Resolution Failure
tf,7.5,11.5,2.2,Environment Resolution Failure
tf,7.5,11.5,2.4,Environment Resolution Failure
tf,7.5,11.6,2.2,Failure to Match
tf,7.5,11.6,2.4,Failure to Match
tf,7.5,11.6,2.6,Failure to Match
tf,7.5,11.6,2.7,Failure to Match
tf,8.0,11.1,2.2,Environment Resolution Failure
tf,8.0,11.1,2.4,Environment Resolution Failure
tf,8.0,11.2,2.2,Environment Resolution Failure
tf,8.0,11.2,2.4,Environment Resolution Failure
tf,8.0,11.3,2.2,Environment Resolution Failure
tf,8.0,11.3,2.4,Environment Resolution Failure
tf,8.0,11.4,2.2,Environment Resolution Failure
tf,8.0,11.4,2.4,Environment Resolution Failure
tf,8.0,11.5,2.2,Environment Resolution Failure
tf,8.0,11.5,2.4,Environment Resolution Failure
tf,8.0,11.6,2.2,Failure to Match
tf,8.0,11.6,2.4,Failure to Match
tf,8.0,11.6,2.6,Failure to Match
tf,8.0,11.6,2.7,Failure to Match
pt,3.5,11.1,1.8,Environment Resolution Failure
pt,3.5,11.1,1.9,Environment Resolution Failure
pt,3.5,11.1,1.10,Environment Resolution Failure
pt,3.5,11.1,1.11,Environment Resolution Failure
pt,3.5,11.2,1.8,Environment Resolution Failure
pt,3.5,11.2,1.9,Environment Resolution Failure
pt,3.5,11.2,1.10,Environment Resolution Failure
pt,3.5,11.2,1.11,Environment Resolution Failure
pt,3.5,11.3,1.8,Environment Resolution Failure
pt,3.5,11.3,1.9,Environment Resolution Failure
pt,3.5,11.4,1.8,Environment Resolution Failure
pt,3.5,11.4,1.9,Environment Resolution Failure
pt,3.5,11.4,1.10,Environment Resolution Failure
pt,3.5,11.4,1.11,Environment Resolution Failure
pt,3.5,11.5,1.8,Failure to Match
pt,3.5,11.5,1.9,Failure to Match
pt,3.5,11.5,1.10,Failure to Match
pt,3.5,11.5,1.11,Failure to Match
pt,3.5,11.6,1.8,Failure to Match
pt,3.5,11.6,1.9,Failure to Match
pt,3.5,11.6,1.10,Failure to Match
pt,3.5,11.6,1.11,Failure to Match
pt,6.0,11.1,1.8,Environment Resolution Failure
pt,6.0,11.1,1.9,Environment Resolution Failure
pt,6.0,11.1,1.10,Environment Resolution Failure
pt,6.0,11.1,1.11,Environment Resolution Failure
pt,6.0,11.2,1.8,Environment Resolution Failure
pt,6.0,11.2,1.9,Environment Resolution Failure
pt,6.0,11.2,1.10,Environment Resolution Failure
pt,6.0,11.2,1.11,Environment Resolution Failure
pt,6.0,11.3,1.8,Environment Resolution Failure
pt,6.0,11.3,1.9,Environment Resolution Failure
pt,6.0,11.4,1.8,Environment Resolution Failure
pt,6.0,11.4,1.9,Environment Resolution Failure
pt,6.0,11.4,1.10,Environment Resolution Failure
pt,6.0,11.4,1.11,Environment Resolution Failure
pt,6.0,11.5,1.8,Environment Resolution Failure
pt,6.0,11.5,1.9,Environment Resolution Failure
pt,6.0,11.5,1.10,Environment Resolution Failure
pt,6.0,11.5,1.11,Environment Resolution Failure
pt,6.0,11.6,1.8,Failure to Match
pt,6.0,11.6,1.9,Failure to Match
pt,6.0,11.6,1.10,Failure to Match
pt,6.0,11.6,1.11,Failure to Match
pt,6.1,11.1,1.8,Environment Resolution Failure
pt,6.1,11.1,1.9,Environment Resolution Failure
pt,6.1,11.1,1.10,Environment Resolution Failure
pt,6.1,11.1,1.11,Environment Resolution Failure
pt,6.1,11.2,1.8,Environment Resolution Failure
pt,6.1,11.2,1.9,Environment Resolution Failure
pt,6.1,11.2,1.10,Environment Resolution Failure
pt,6.1,11.2,1.11,Environment Resolution Failure
pt,6.1,11.3,1.8,Environment Resolution Failure
pt,6.1,11.3,1.9,Environment Resolution Failure
pt,6.1,11.4,1.8,Environment Resolution Failure
pt,6.1,11.4,1.9,Environment Resolution Failure
pt,6.1,11.4,1.10,Environment Resolution Failure
pt,6.1,11.4,1.11,Environment Resolution Failure
pt,6.1,11.5,1.8,Environment Resolution Failure
pt,6.1,11.5,1.9,Environment Resolution Failure
pt,6.1,11.5,1.10,Environment Resolution Failure
pt,6.1,11.5,1.11,Environment Resolution Failure
pt,6.1,11.6,1.8,Environment Resolution Failure
pt,6.1,11.6,1.9,Environment Resolution Failure
pt,6.1,11.6,1.10,Environment Resolution Failure
pt,6.1,11.6,1.11,Environment Resolution Failure
pt,7.5,11.1,1.8,Environment Resolution Failure
pt,7.5,11.1,1.9,Environment Resolution Failure
pt,7.5,11.1,1.10,Environment Resolution Failure
pt,7.5,11.1,1.11,Environment Resolution Failure
pt,7.5,11.2,1.8,Environment Resolution Failure
pt,7.5,11.2,1.9,Environment Resolution Failure
pt,7.5,11.2,1.10,Environment Resolution Failure
pt,7.5,11.2,1.11,Environment Resolution Failure
pt,7.5,11.3,1.8,Environment Resolution Failure
pt,7.5,11.3,1.9,Environment Resolution Failure
pt,7.5,11.4,1.8,Environment Resolution Failure
pt,7.5,11.4,1.9,Environment Resolution Failure
pt,7.5,11.4,1.10,Environment Resolution Failure
pt,7.5,11.4,1.11,Environment Resolution Failure
pt,7.5,11.5,1.8,Environment Resolution Failure
pt,7.5,11.5,1.9,Environment Resolution Failure
pt,7.5,11.5,1.10,Environment Resolution Failure
pt,7.5,11.5,1.11,Environment Resolution Failure
pt,7.5,11.6,1.8,Failure to Match
pt,7.5,11.6,1.9,Failure to Match
pt,7.5,11.6,1.10,Failure to Match
pt,7.5,11.6,1.11,Failure to Match
pt,8.0,11.1,1.8,Environment Resolution Failure
pt,8.0,11.1,1.9,Environment Resolution Failure
pt,8.0,11.1,1.10,Environment Resolution Failure
pt,8.0,11.1,1.11,Environment Resolution Failure
pt,8.0,11.2,1.8,Environment Resolution Failure
pt,8.0,11.2,1.9,Environment Resolution Failure
pt,8.0,11.2,1.10,Environment Resolution Failure
pt,8.0,11.2,1.11,Environment Resolution Failure
pt,8.0,11.3,1.8,Environment Resolution Failure
pt,8.0,11.3,1.9,Environment Resolution Failure
pt,8.0,11.4,1.8,Environment Resolution Failure
pt,8.0,11.4,1.9,Environment Resolution Failure
pt,8.0,11.4,1.10,Environment Resolution Failure
pt,8.0,11.4,1.11,Environment Resolution Failure
pt,8.0,11.5,1.8,Environment Resolution Failure
pt,8.0,11.5,1.9,Environment Resolution Failure
pt,8.0,11.5,1.10,Environment Resolution Failure
pt,8.0,11.5,1.11,Environment Resolution Failure
pt,8.0,11.6,1.8,Failure to Match
pt,8.0,11.6,1.9,Failure to Match
pt,8.0,11.6,1.10,Failure to Match
pt,8.0,11.6,1.11,Failure to Match
